"Day","Median","Lower.Quantile","Upper.Quantile"
2015-04-25,580,450,800
2015-04-26,615,500,1000
2015-04-27,560,450,897
2015-04-28,600,469.9,1000
2015-04-29,615,479,1000
2015-04-30,525,450,800
2015-05-01,560,433,800
2015-05-02,500,400,765
2015-05-03,500,400,738
2015-05-04,500,400,738
2015-05-05,503,415,750
2015-05-06,600,490,848
2015-05-07,600,474,800
2015-05-10,670,499.9,800
2015-05-11,600,430,800
2015-05-12,600,400,800
2015-05-13,549.8,399,791
2015-05-15,500,380,800
2015-05-16,500,350,800
2015-05-17,500,370,799
2015-05-18,480.9,350,790
2015-05-19,500,350,799
2015-05-20,492.9,349,790
2015-05-21,450,348,790
2015-05-24,550,359,800
